entity_type,entity_subtype,dimensions,period,value,unit,confidence,source,growth_applicable,context
revenue,revenue,{},2024,93200000000.0,USD,0.662,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,{},2024,93200000000.0,USD,0.446,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,"{'business_unit': ['services'], 'product': ['ure services']}",2024,24000000.0,Unknown,0.22599999999999998,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,{},2024,24000000.0,Unknown,0.22599999999999998,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,{},2024,24000000.0,Unknown,0.1,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,{},2024,24000000.0,Unknown,0.1,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,"{'business_unit': ['services'], 'product': ['utilize services']}",2024,24000000.0,Unknown,0.1,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
revenue,revenue,{},2024,24000000.0,Unknown,0.1,goog-10-k-2024.pdf,True,"As of December 31, 2024, we had $93.2 billion of remaining performance obligations (“revenue backlog”), primarily related to Google Cloud. Revenue bac..."
growth,growth,{},2024,4.0,Unknown,0.866,goog-10-k-2024.pdf,False,"Table of Contents
Alphabet Inc.
Google subscriptions, platforms, and devices
Google subscriptions, platforms, and devices revenues increased $5.7 bill..."
growth,increase,{},2024,4.0,Unknown,0.73,goog-10-k-2024.pdf,False,"Table of Contents
Alphabet Inc.
Google subscriptions, platforms, and devices
Google subscriptions, platforms, and devices revenues increased $5.7 bill..."
growth,growth,{},2024,4.0,Unknown,0.538,goog-10-k-2024.pdf,False,"Table of Contents
Alphabet Inc.
Google subscriptions, platforms, and devices
Google subscriptions, platforms, and devices revenues increased $5.7 bill..."
