source,period,value,unit,confidence,context
goog-10-k-2024.pdf,2024,1.0,Unknown,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,1.0,Unknown,0.5,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,352700000000.0,USD,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,352700000000.0,USD,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,202.0,Unknown,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,202.0,Unknown,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,4.0,Unknown,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,4.0,Unknown,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,45600000000.0,USD,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,45600000000.0,USD,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,307200000000.0,USD,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,307200000000.0,USD,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,202.0,Unknown,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,202.0,Unknown,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2024,3.0,Unknown,0.9,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,3.0,Unknown,0.7,"(1)
- Total constant currency revenues of $352.7 billion for 2024 increased $45.6 billion compared t..."
goog-10-k-2024.pdf,2023,202.0,Unknown,0.7,"Table of Contents
Alphabet Inc.
The following table presents the foreign currency exchange effect on..."
goog-10-k-2024.pdf,2024,202.0,Unknown,0.9,"Table of Contents
Alphabet Inc.
The following table presents the foreign currency exchange effect on..."
goog-10-k-2024.pdf,2024,202.0,Unknown,0.9,"Table of Contents
Alphabet Inc.
The following table presents the foreign currency exchange effect on..."
goog-10-k-2024.pdf,2023,202.0,Unknown,0.7,"Table of Contents
Alphabet Inc.
The following table presents the foreign currency exchange effect on..."
goog-10-k-2024.pdf,2023,3.0,Unknown,0.9,"Table of Contents
Alphabet Inc.
The following table presents the foreign currency exchange effect on..."
